no,male,female,age,regular,daytime,others,enrolement  year,attendance,last month attendance,2 months ago attendance,3 months ago attendance,withdrawal,enrollement
1,0,1,67,1,0,0,0,0,0,0,0,0,1
2,0,1,65,1,0,0,2,216,8,6,4,0,1
3,0,1,76,0,1,0,2,306,10,11,8,0,1
4,0,1,61,1,0,0,2,162,7,6,6,0,1
5,1,0,75,1,0,0,2,264,11,11,7,0,1
6,0,1,81,1,0,0,2,399,16,15,13,0,1
7,1,0,27,1,0,0,2,304,10,13,7,0,1
8,1,0,76,1,0,0,2,171,3,7,3,0,1
9,1,0,38,1,0,0,2,1,0,0,0,0,1
10,0,1,69,1,0,0,2,492,12,13,11,0,1
11,0,1,61,1,0,0,2,369,14,11,12,0,1
12,0,1,55,1,0,0,2,167,13,11,7,0,1
13,0,1,70,1,0,0,2,475,22,17,17,0,1
14,0,1,78,1,0,0,2,304,15,14,9,0,1
15,0,1,73,0,1,0,2,481,21,21,19,0,1
16,1,0,54,1,0,0,2,50,3,1,1,0,1
17,1,0,49,1,0,0,2,37,0,0,0,0,1
18,1,0,47,1,0,0,2,128,5,6,3,0,1
19,1,0,40,1,0,0,2,128,3,5,2,0,1
20,0,1,49,1,0,0,2,38,2,4,1,0,1
21,0,1,66,1,0,0,2,264,11,11,9,0,1
22,0,1,51,1,0,0,2,320,14,14,7,0,1
23,0,1,74,1,0,0,2,377,16,17,13,0,1
24,0,1,53,1,0,0,2,237,10,7,7,0,1
25,0,1,61,1,0,0,2,595,26,23,21,0,1
26,0,1,71,1,0,0,2,588,25,26,19,0,1
27,0,1,61,0,1,0,2,296,11,13,10,0,1
28,1,0,73,1,0,0,2,439,18,20,15,0,1
29,0,1,73,1,0,0,2,207,0,0,0,0,1
30,1,0,37,1,0,0,2,42,0,0,0,0,1
31,0,1,71,1,0,0,2,504,23,22,24,0,1
32,1,0,67,1,0,0,2,299,13,9,10,0,1
33,0,1,78,1,0,0,2,262,6,14,8,0,1
34,0,1,78,1,0,0,2,543,23,25,20,0,1
35,0,1,66,1,0,0,2,303,12,11,13,0,1
36,0,1,71,1,0,0,2,477,17,16,14,0,1
37,0,1,49,1,0,0,2,97,2,3,6,0,1
38,0,1,84,1,0,0,2,292,12,17,15,0,1
39,1,0,61,1,0,0,2,429,16,16,15,0,1
40,0,1,58,1,0,0,2,417,17,15,17,0,1
41,0,1,37,1,0,0,2,562,23,22,19,0,1
42,1,0,53,1,0,0,2,0,0,0,0,0,1
43,1,0,77,0,1,0,2,459,20,14,14,0,1
44,0,1,66,1,0,0,2,332,14,16,10,0,1
45,1,0,71,1,0,0,2,428,9,13,9,0,1
46,1,0,67,1,0,0,2,560,22,23,21,0,1
47,0,1,82,1,0,0,2,654,24,26,25,0,1
48,0,1,73,1,0,0,2,251,19,12,12,0,1
49,1,0,67,1,0,0,2,628,27,23,23,0,1
50,1,0,71,1,0,0,2,501,21,20,22,0,1
51,0,1,76,1,0,0,2,622,27,23,23,0,1
52,1,0,40,1,0,0,2,2,0,0,0,0,1
53,0,1,27,1,0,0,2,69,1,1,1,0,1
54,0,1,78,1,0,0,2,523,21,24,21,0,1
55,1,0,75,1,0,0,2,265,12,10,11,0,1
56,0,1,72,1,0,0,2,292,15,12,10,0,1
57,1,0,59,1,0,0,2,463,20,17,20,0,1
58,0,1,66,1,0,0,2,67,2,4,1,0,1
59,0,1,62,1,0,0,2,275,12,11,13,0,1
60,0,1,47,1,0,0,2,39,0,0,0,0,1
61,0,1,64,1,0,0,2,621,27,23,21,0,1
62,0,1,64,1,0,0,2,8,0,0,0,0,1
63,0,1,69,1,0,0,2,548,24,22,23,0,1
64,0,1,72,1,0,0,2,423,16,12,12,0,1
65,0,1,66,1,0,0,2,337,18,15,16,0,1
66,0,1,78,1,0,0,2,552,22,20,17,0,1
67,0,1,68,1,0,0,2,340,15,16,15,0,1
68,0,1,61,1,0,0,2,364,18,16,13,0,1
69,0,1,84,1,0,0,2,176,8,7,5,0,1
70,1,0,24,1,0,0,2,162,5,5,1,0,1
71,0,1,69,1,0,0,2,440,20,13,8,0,1
72,1,0,70,1,0,0,2,469,23,16,20,0,1
73,0,1,58,1,0,0,2,95,6,0,1,0,1
74,0,1,73,1,0,0,2,573,25,21,16,0,1
75,0,1,66,1,0,0,2,243,9,8,10,0,1
76,0,1,70,1,0,0,2,216,11,11,6,0,1
77,1,0,64,1,0,0,2,147,6,2,2,0,1
78,0,1,33,1,0,0,2,611,26,21,21,0,1
79,0,1,61,1,0,0,2,479,27,20,21,0,1
80,0,1,73,1,0,0,2,60,1,0,0,0,1
81,1,0,50,1,0,0,2,105,4,4,2,0,1
82,0,1,46,1,0,0,2,412,17,17,12,0,1
83,1,0,57,1,0,0,2,1,0,0,0,0,1
84,0,1,70,1,0,0,2,153,8,1,4,0,1
85,0,1,67,1,0,0,2,91,5,5,4,0,1
86,0,1,51,1,0,0,2,205,10,9,9,0,1
87,0,1,63,1,0,0,2,20,0,0,0,0,1
88,0,1,77,1,0,0,2,520,18,20,15,0,1
89,0,1,58,1,0,0,2,63,1,1,1,0,1
90,1,0,61,1,0,0,2,425,25,14,16,0,1
91,1,0,62,1,0,0,2,21,0,0,0,0,1
92,0,1,51,1,0,0,2,152,7,1,4,0,1
93,1,0,42,1,0,0,2,184,3,4,1,0,1
94,1,0,41,1,0,0,2,116,1,0,0,0,1
95,0,1,82,0,1,0,2,345,19,16,14,0,1
96,1,0,66,1,0,0,2,407,15,15,12,0,1
97,1,0,58,1,0,0,2,18,0,1,0,0,1
98,0,1,74,0,1,0,2,108,6,4,2,0,1
99,0,1,59,1,0,0,2,119,4,8,5,0,1
100,0,1,48,1,0,0,2,259,8,5,4,0,1
101,1,0,53,1,0,0,2,144,7,7,13,0,1
102,0,1,71,1,0,0,2,311,12,13,12,0,1
103,0,1,52,1,0,0,2,265,10,13,10,0,1
104,1,0,61,0,1,0,2,106,2,4,4,0,1
105,1,0,23,1,0,0,2,221,10,9,7,0,1
106,1,0,32,1,0,0,2,115,8,3,3,0,1
107,1,0,76,1,0,0,2,514,18,19,18,0,1
108,0,1,41,1,0,0,2,507,25,26,25,0,1
109,1,0,55,1,0,0,2,154,6,4,10,0,1
110,0,1,54,1,0,0,2,170,12,13,6,0,1
111,0,1,54,1,0,0,2,161,11,14,3,0,1
112,0,1,44,1,0,0,2,53,1,10,8,0,1
113,0,1,57,1,0,0,2,168,9,13,2,0,1
114,1,0,57,1,0,0,2,417,19,19,19,0,1
115,0,1,54,1,0,0,2,32,2,2,0,0,1
116,0,1,69,1,0,0,2,560,24,23,23,0,1
117,0,1,50,1,0,0,2,265,6,7,5,0,1
118,1,0,68,1,0,0,2,283,5,10,11,0,1
119,0,1,64,1,0,0,2,93,4,0,0,0,1
120,0,1,60,1,0,0,2,278,13,13,11,0,1
121,0,1,55,1,0,0,2,150,5,6,5,0,1
122,0,1,53,1,0,0,2,578,26,22,24,0,1
123,0,1,58,1,0,0,2,89,4,4,3,0,1
124,0,1,40,1,0,0,2,93,0,3,0,0,1
125,0,1,62,1,0,0,2,38,0,0,0,0,1
126,1,0,73,1,0,0,2,344,15,15,15,0,1
127,1,0,66,1,0,0,2,141,8,5,2,0,1
128,0,1,63,1,0,0,2,142,7,6,1,0,1
129,0,1,48,1,0,0,2,294,13,12,12,0,1
130,0,1,52,1,0,0,2,147,14,14,5,0,1
131,1,0,72,1,0,0,2,632,26,26,24,0,1
132,0,1,57,1,0,0,2,244,18,9,3,0,1
133,1,0,74,1,0,0,2,423,17,18,18,0,1
134,1,0,65,1,0,0,2,355,16,15,13,0,1
135,1,0,74,1,0,0,2,163,1,7,6,0,1
136,0,1,46,1,0,0,2,276,7,9,3,0,1
137,0,1,72,1,0,0,2,74,1,1,1,0,1
138,0,1,54,1,0,0,2,3,0,0,0,0,1
139,1,0,56,1,0,0,2,18,1,1,0,0,1
140,1,0,20,1,0,0,2,1,0,0,0,0,1
141,1,0,68,0,1,0,2,182,8,7,7,0,1
142,0,1,66,1,0,0,2,255,14,11,10,0,1
143,0,1,59,1,0,0,2,268,13,11,10,0,1
144,1,0,60,1,0,0,2,101,6,3,3,0,1
145,0,1,62,0,1,0,2,166,0,0,0,0,1
146,0,1,67,1,0,0,2,418,18,18,13,0,1
147,1,0,71,1,0,0,2,376,15,16,14,0,1
148,0,1,75,1,0,0,2,361,14,17,14,0,1
149,0,1,66,1,0,0,2,375,24,20,20,0,1
150,0,1,81,1,0,0,2,508,25,19,18,0,1
151,1,0,54,1,0,0,2,153,3,4,4,0,1
152,0,1,67,1,0,0,2,322,15,13,12,0,1
153,0,1,60,1,0,0,2,28,0,1,1,0,1
154,0,1,50,1,0,0,2,556,27,23,23,0,1
155,0,1,78,1,0,0,2,395,16,17,19,0,1
156,1,0,59,1,0,0,2,405,23,17,13,0,1
157,0,1,52,1,0,0,2,577,25,22,22,0,1
158,0,1,52,1,0,0,2,133,6,4,5,0,1
159,1,0,53,1,0,0,2,145,4,6,1,0,1
160,0,1,31,1,0,0,2,284,9,13,12,0,1
161,1,0,45,1,0,0,2,203,10,7,8,0,1
162,1,0,55,1,0,0,2,93,0,4,2,0,1
163,0,1,44,1,0,0,2,407,17,14,15,0,1
164,1,0,31,1,0,0,2,469,17,17,17,0,1
165,0,1,71,1,0,0,2,487,19,15,16,0,1
166,1,0,60,1,0,0,2,392,13,16,12,0,1
167,0,1,40,1,0,0,2,84,4,4,3,0,1
168,1,0,58,1,0,0,2,213,6,8,6,0,1
169,0,1,76,1,0,0,2,383,18,19,15,0,1
170,0,1,55,1,0,0,2,344,13,12,11,0,1
171,0,1,78,1,0,0,2,482,20,17,15,0,1
172,1,0,84,1,0,0,2,614,26,20,23,0,1
173,0,1,45,1,0,0,2,201,8,9,7,0,1
174,0,1,77,0,1,0,2,243,9,11,11,0,1
175,0,1,18,1,0,0,2,7,0,0,0,0,1
176,0,1,59,1,0,0,2,171,3,5,4,0,1
177,1,0,78,1,0,0,2,257,7,10,14,0,1
178,0,1,79,1,0,0,2,476,24,15,19,0,1
179,1,0,64,1,0,0,2,9,0,0,0,0,1
180,0,1,60,1,0,0,2,226,7,10,6,0,1
181,1,0,52,0,1,0,2,153,7,6,0,0,1
182,0,1,65,1,0,0,2,337,13,11,9,0,1
183,0,1,64,1,0,0,2,8,0,0,0,0,1
184,0,1,61,1,0,0,2,137,3,4,5,0,1
185,0,1,54,1,0,0,2,19,0,1,0,0,1
186,0,1,80,1,0,0,2,593,24,23,23,0,1
187,0,1,69,1,0,0,2,366,18,18,13,0,1
188,0,1,39,1,0,0,2,167,7,5,9,0,1
189,0,1,70,0,1,0,2,352,15,16,13,0,1
190,0,1,73,0,1,0,2,87,5,4,3,0,1
191,1,0,59,1,0,0,2,584,25,24,20,0,1
192,1,0,72,1,0,0,2,255,9,7,8,0,1
193,0,1,67,1,0,0,2,229,10,9,6,0,1
194,0,1,69,0,1,0,2,227,6,11,8,0,1
195,0,1,73,0,1,0,2,423,19,20,12,0,1
196,0,1,60,1,0,0,2,170,11,7,2,0,1
197,0,1,51,1,0,0,2,182,4,5,6,0,1
198,0,1,52,1,0,0,2,331,11,9,7,0,1
199,0,1,76,1,0,0,2,560,23,19,21,0,1
200,1,0,40,1,0,0,2,36,2,0,0,0,1
201,1,0,33,1,0,0,2,210,14,15,10,0,1
202,0,1,25,1,0,0,2,88,3,4,3,0,1
203,0,1,52,1,0,0,2,134,6,3,9,0,1
204,1,0,67,1,0,0,2,175,10,7,6,0,1
205,0,1,63,1,0,0,2,232,17,16,11,0,1
206,0,1,69,1,0,0,2,348,10,19,9,0,1
207,0,1,40,1,0,0,2,326,8,13,8,0,1
208,0,1,74,1,0,0,2,419,15,15,11,0,1
209,0,1,71,1,0,0,2,159,6,7,6,0,1
210,1,0,77,1,0,0,2,53,2,1,1,0,1
211,0,1,55,0,1,0,2,95,3,2,2,0,1
212,0,1,32,1,0,0,2,101,0,0,0,0,1
213,0,1,45,1,0,0,2,152,6,2,1,0,1
214,0,1,74,1,0,0,2,260,8,8,6,0,1
215,0,1,43,1,0,0,2,5,0,0,0,0,1
216,0,1,74,1,0,0,2,621,24,21,24,0,1
217,1,0,54,1,0,0,2,174,13,7,5,0,1
218,0,1,48,1,0,0,2,350,14,14,16,0,1
219,0,1,68,1,0,0,2,623,24,22,24,0,1
220,0,1,60,1,0,0,2,171,11,12,8,0,1
221,1,0,50,1,0,0,2,36,3,0,0,0,1
222,1,0,66,1,0,0,2,239,13,10,9,0,1
223,0,1,77,1,0,0,2,65,0,0,0,0,1
224,0,1,58,1,0,0,2,562,24,21,23,0,1
225,0,1,65,1,0,0,2,373,18,21,20,0,1
226,0,1,29,1,0,0,2,42,0,0,0,0,1
227,0,1,76,1,0,0,2,384,9,17,14,0,1
228,0,1,70,1,0,0,2,310,12,13,9,0,1
229,0,1,62,1,0,0,2,222,9,6,6,0,1
230,0,1,70,1,0,0,2,246,11,11,7,0,1
231,0,1,55,1,0,0,2,242,4,4,5,0,1
232,1,0,67,1,0,0,2,333,13,11,4,0,1
233,0,1,74,1,0,0,2,608,28,25,21,0,1
234,1,0,76,1,0,0,2,301,11,13,12,0,1
235,1,0,55,0,1,0,2,191,8,8,10,0,1
236,0,1,64,1,0,0,2,564,26,23,24,0,1
237,0,1,62,1,0,0,2,284,15,15,15,0,1
238,0,1,41,1,0,0,2,367,16,13,14,0,1
239,0,1,33,1,0,0,2,61,1,0,0,0,1
240,0,1,54,1,0,0,2,49,1,0,0,0,1
241,0,1,65,1,0,0,2,241,13,9,9,0,1
242,0,1,45,1,0,0,2,280,14,17,11,0,1
243,0,1,75,1,0,0,2,347,13,13,16,0,1
244,0,1,75,0,1,0,2,268,12,12,6,0,1
245,1,0,25,1,0,0,2,175,8,8,7,0,1
246,1,0,66,1,0,0,2,130,6,5,4,0,1
247,0,1,53,1,0,0,2,43,3,0,0,0,1
248,1,0,78,1,0,0,2,527,17,20,20,0,1
249,0,1,86,1,0,0,2,121,1,0,0,0,1
250,1,0,65,1,0,0,2,98,4,4,3,0,1
251,0,1,43,1,0,0,2,387,14,15,19,0,1
252,0,1,62,1,0,0,2,42,2,1,1,0,1
253,1,0,58,1,0,0,2,326,12,14,14,0,1
254,0,1,52,1,0,0,2,20,0,0,1,0,1
255,1,0,55,1,0,0,2,214,7,7,8,0,1
256,1,0,58,1,0,0,2,497,10,13,15,0,1
257,1,0,42,1,0,0,2,16,1,0,0,0,1
258,1,0,32,1,0,0,2,105,5,4,4,0,1
259,1,0,75,1,0,0,2,431,18,19,15,0,1
260,0,1,39,1,0,0,2,92,0,1,0,0,1
261,1,0,62,1,0,0,2,467,21,24,17,0,1
262,1,0,63,1,0,0,2,212,6,6,2,0,1
263,1,0,64,0,1,0,2,176,5,7,5,0,1
264,0,1,64,1,0,0,2,550,17,22,21,0,1
265,1,0,66,1,0,0,2,266,11,13,8,0,1
266,0,1,45,1,0,0,2,470,17,28,20,0,1
267,1,0,66,1,0,0,2,510,21,18,19,0,1
268,0,1,65,1,0,0,2,499,18,18,16,0,1
269,1,0,69,1,0,0,2,296,11,10,8,0,1
270,0,1,69,1,0,0,2,315,17,16,3,0,1
271,1,0,35,0,1,0,2,178,4,3,3,0,1
272,0,1,40,1,0,0,2,466,22,22,23,0,1
273,1,0,70,1,0,0,2,560,22,21,19,0,1
274,0,1,61,1,0,0,2,584,25,23,21,0,1
275,1,0,56,1,0,0,2,87,2,3,1,0,1
276,0,1,68,1,0,0,2,408,21,18,17,0,1
277,0,1,65,1,0,0,2,101,3,3,1,0,1
278,0,1,75,0,1,0,2,377,15,15,12,0,1
279,0,1,69,1,0,0,2,567,23,24,19,0,1
280,1,0,56,1,0,0,2,184,7,7,9,0,1
281,0,1,60,1,0,0,2,164,7,7,10,0,1
282,1,0,68,1,0,0,2,194,7,7,6,0,1
283,1,0,67,1,0,0,2,154,7,8,4,0,1
284,0,1,55,1,0,0,2,155,7,8,4,0,1
285,1,0,38,1,0,0,2,10,0,1,0,0,1
286,1,0,65,1,0,0,2,468,25,23,23,0,1
287,0,1,55,1,0,0,2,155,8,4,0,0,1
288,0,1,56,1,0,0,2,219,11,6,8,0,1
289,1,0,58,1,0,0,2,225,11,8,8,0,1
290,1,0,53,1,0,0,2,99,6,7,4,0,1
291,0,1,53,1,0,0,2,7,0,0,0,0,1
292,0,1,59,1,0,0,2,250,14,9,11,0,1
293,0,1,63,1,0,0,2,262,10,11,10,0,1
294,1,0,53,1,0,0,2,134,8,4,7,0,1
295,0,1,52,1,0,0,2,174,7,8,3,0,1
296,1,0,46,1,0,0,2,91,4,7,7,0,1
297,0,1,56,1,0,0,2,247,16,8,4,0,1
298,1,0,77,1,0,0,2,476,19,18,18,0,1
299,1,0,26,1,0,0,2,3,0,0,0,0,1
300,1,0,67,1,0,0,2,240,2,0,0,0,1
301,1,0,37,1,0,0,1,125,11,9,10,0,1
302,0,1,45,1,0,0,2,547,27,23,22,0,1
303,0,1,46,1,0,0,2,274,8,9,13,0,1
304,0,1,63,1,0,0,2,354,13,13,11,0,1
305,1,0,74,1,0,0,2,260,10,8,6,0,1
306,0,1,58,1,0,0,2,479,19,21,18,0,1
307,1,0,66,1,0,0,2,573,24,25,23,0,1
308,0,1,55,0,1,0,2,129,5,4,5,0,1
309,0,1,41,0,1,0,2,165,7,9,2,0,1
310,1,0,66,1,0,0,2,43,1,1,2,0,1
311,1,0,67,1,0,0,2,371,21,16,14,0,1
312,1,0,54,1,0,0,2,89,4,4,2,0,1
313,0,1,53,1,0,0,2,385,14,15,12,0,1
314,1,0,63,0,1,0,2,429,18,19,18,0,1
315,0,1,63,1,0,0,2,393,13,2,3,0,1
316,1,0,69,1,0,0,2,602,23,23,23,0,1
317,0,1,54,1,0,0,2,219,8,15,7,0,1
318,1,0,61,1,0,0,2,302,8,7,9,0,1
319,1,0,54,1,0,0,2,5,0,0,0,0,1
320,0,1,59,1,0,0,2,124,3,5,3,0,1
321,1,0,55,1,0,0,2,18,0,0,0,0,1
322,0,1,49,1,0,0,2,65,0,1,0,0,1
323,0,1,63,1,0,0,2,241,10,9,8,0,1
324,0,1,77,1,0,0,2,569,25,19,10,0,1
325,0,1,59,1,0,0,2,170,5,8,5,0,1
326,1,0,73,1,0,0,2,116,5,1,2,0,1
327,0,1,67,1,0,0,2,308,13,12,11,0,1
328,1,0,49,1,0,0,2,127,2,4,1,0,1
329,1,0,35,1,0,0,2,99,4,4,2,0,1
330,1,0,49,1,0,0,2,214,6,10,11,0,1
331,1,0,31,1,0,0,2,223,6,6,3,0,1
332,1,0,36,1,0,0,2,121,5,3,1,0,1
333,0,1,46,1,0,0,2,10,0,0,0,0,1
334,1,0,62,1,0,0,2,186,6,7,8,0,1
335,0,1,70,1,0,0,2,214,8,8,5,0,1
336,0,1,44,1,0,0,2,192,8,8,8,0,1
337,0,1,52,1,0,0,2,297,11,9,11,0,1
338,1,0,67,1,0,0,2,472,17,16,18,0,1
339,0,1,22,1,0,0,2,53,4,0,0,0,1
340,0,1,57,1,0,0,2,124,4,2,2,0,1
341,1,0,24,1,0,0,2,170,4,3,2,0,1
342,1,0,54,1,0,0,2,186,12,9,5,0,1
343,0,1,58,1,0,0,2,135,4,2,5,0,1
344,0,1,50,1,0,0,2,288,4,13,11,0,1
345,0,1,61,1,0,0,2,588,25,21,22,0,1
346,0,1,43,1,0,0,2,141,11,8,5,0,1
347,0,1,63,0,1,0,2,258,6,8,12,0,1
348,1,0,42,1,0,0,2,166,4,7,11,0,1
349,0,1,56,1,0,0,2,105,4,3,2,0,1
350,0,1,57,1,0,0,2,131,5,6,8,0,1
351,1,0,66,1,0,0,2,9,2,1,0,0,1
352,1,0,58,1,0,0,2,108,0,0,3,0,1
353,1,0,63,1,0,0,2,536,22,23,22,0,1
354,0,1,31,1,0,0,2,45,2,1,1,0,1
355,1,0,65,1,0,0,2,11,0,0,0,0,1
356,0,1,59,1,0,0,2,22,0,0,0,0,1
357,1,0,74,1,0,0,2,49,0,0,0,0,1
358,1,0,30,1,0,0,2,61,0,1,1,0,1
359,1,0,62,1,0,0,2,270,10,15,16,0,1
360,0,1,79,1,0,0,2,327,15,17,11,0,1
361,0,1,61,1,0,0,2,217,7,9,6,0,1
362,1,0,63,1,0,0,2,314,8,14,10,0,1
363,0,1,69,1,0,0,2,538,10,25,21,0,1
364,0,1,81,1,0,0,2,490,21,16,18,0,1
365,1,0,43,1,0,0,2,18,0,0,0,0,1
366,0,1,47,1,0,0,2,505,21,20,18,0,1
367,0,1,67,1,0,0,2,261,7,6,17,0,1
368,0,1,28,1,0,0,2,286,11,12,11,0,1
369,0,1,64,1,0,0,2,571,22,24,22,0,1
370,0,1,50,1,0,0,2,349,11,13,15,0,1
371,1,0,54,1,0,0,2,197,5,11,8,0,1
372,1,0,54,1,0,0,2,389,18,21,15,0,1
373,1,0,66,1,0,0,2,334,7,9,7,0,1
374,1,0,74,1,0,0,2,356,17,18,21,0,1
375,1,0,46,1,0,0,2,50,1,0,3,0,1
376,1,0,44,1,0,0,2,771,33,27,29,0,1
377,1,0,77,1,0,0,2,630,25,24,23,0,1
378,1,0,36,1,0,0,2,19,0,0,0,0,1
379,0,1,64,1,0,0,2,203,12,13,10,0,1
380,0,1,64,1,0,0,2,572,19,13,17,0,1
381,1,0,65,1,0,0,2,14,12,2,0,0,1
382,0,1,76,1,0,0,2,57,3,6,1,0,1
383,1,0,81,1,0,0,2,348,15,16,13,0,1
384,1,0,66,1,0,0,2,600,25,25,20,0,1
385,0,1,69,1,0,0,2,481,18,20,14,0,1
386,1,0,83,1,0,0,2,454,18,22,18,0,1
387,0,1,75,0,1,0,2,285,11,13,10,0,1
388,1,0,74,1,0,0,2,637,27,26,22,0,1
389,1,0,56,1,0,0,2,174,3,4,5,0,1
390,0,1,53,1,0,0,2,200,8,8,9,0,1
391,1,0,58,1,0,0,2,193,10,9,8,0,1
392,1,0,26,1,0,0,2,42,0,0,0,0,1
393,1,0,74,1,0,0,2,280,8,1,1,0,1
394,0,1,29,1,0,0,2,140,2,3,0,0,1
395,1,0,72,1,0,0,2,432,17,15,15,0,1
396,1,0,66,1,0,0,2,53,0,0,0,0,1
397,0,1,75,1,0,0,2,114,0,10,8,0,1
398,0,1,34,1,0,0,2,268,3,2,4,0,1
399,0,1,71,1,0,0,2,554,23,22,17,0,1
400,1,0,94,1,0,0,2,301,7,8,9,0,1
401,1,0,42,1,0,0,2,156,8,5,5,0,1
402,1,0,58,1,0,0,2,362,11,10,12,0,1
403,0,1,69,1,0,0,2,472,19,18,20,0,1
404,0,1,67,1,0,0,2,204,9,7,6,0,1
405,1,0,71,1,0,0,2,453,18,20,19,0,1
406,0,1,60,1,0,0,2,430,1,17,18,0,1
407,0,1,45,1,0,0,2,64,3,2,0,0,1
408,1,0,71,1,0,0,2,55,1,1,0,0,1
409,0,1,79,1,0,0,2,431,16,15,13,0,1
410,0,1,62,1,0,0,2,240,3,10,14,0,1
411,1,0,65,1,0,0,2,509,20,21,20,0,1
412,0,1,56,1,0,0,2,550,25,22,19,0,1
413,0,1,40,1,0,0,2,195,0,1,6,0,1
414,0,1,60,1,0,0,2,116,6,6,3,0,1
415,0,1,65,1,0,0,2,578,25,17,23,0,1
416,0,1,76,1,0,0,2,72,0,0,0,0,1
417,0,1,45,1,0,0,2,362,12,11,14,0,1
418,0,1,64,1,0,0,2,65,6,4,3,0,1
419,1,0,57,1,0,0,2,77,2,2,0,0,1
420,0,1,61,1,0,0,2,486,20,20,15,0,1
421,1,0,49,1,0,0,2,500,21,22,18,0,1
422,0,1,63,1,0,0,2,406,21,14,11,0,1
423,0,1,53,1,0,0,2,44,0,5,0,0,1
424,0,1,53,1,0,0,2,51,1,2,1,0,1
425,1,0,73,1,0,0,2,592,24,23,20,0,1
426,1,0,69,1,0,0,2,433,9,18,15,0,1
427,1,0,77,1,0,0,2,452,17,18,14,0,1
428,0,1,75,0,1,0,2,181,5,7,5,0,1
429,0,1,50,1,0,0,2,54,2,1,2,0,1
430,1,0,34,1,0,0,2,50,5,2,1,0,1
431,0,1,83,1,0,0,2,581,22,22,21,0,1
432,1,0,65,1,0,0,2,596,26,25,23,0,1
433,1,0,57,1,0,0,2,626,26,24,23,0,1
434,1,0,74,1,0,0,2,475,22,16,15,0,1
435,0,1,50,1,0,0,2,189,10,4,5,0,1
436,0,1,51,1,0,0,2,189,22,10,1,0,1
437,0,1,35,1,0,0,2,51,2,0,2,0,1
438,1,0,46,1,0,0,2,267,10,14,14,0,1
439,0,1,58,1,0,0,2,127,8,4,0,0,1
440,0,1,75,1,0,0,2,66,3,1,0,0,1
441,0,1,41,1,0,0,2,145,4,5,3,0,1
442,1,0,58,1,0,0,2,132,2,3,1,0,1
443,0,1,73,0,1,0,2,366,16,16,13,0,1
444,0,1,43,1,0,0,2,229,9,10,8,0,1
445,0,1,60,1,0,0,2,706,35,23,33,0,1
446,0,1,53,1,0,0,2,407,14,13,12,0,1
447,0,1,64,1,0,0,2,210,12,5,2,0,1
448,0,1,55,1,0,0,2,67,3,3,2,0,1
449,1,0,57,1,0,0,2,1,0,0,0,0,1
450,1,0,53,1,0,0,2,493,19,14,10,0,1
451,1,0,70,1,0,0,2,621,26,25,24,0,1
452,1,0,75,1,0,0,2,591,25,25,22,0,1
453,0,1,65,1,0,0,2,363,15,18,20,0,1
454,0,1,66,1,0,0,2,588,18,23,23,0,1
455,0,1,72,1,0,0,2,579,23,21,20,0,1
456,1,0,83,1,0,0,2,425,18,18,17,0,1
457,0,1,57,1,0,0,2,335,7,9,5,0,1
458,0,1,62,1,0,0,2,115,3,4,5,0,1
459,1,0,81,1,0,0,2,320,12,7,11,0,1
460,0,1,67,1,0,0,2,294,18,17,14,0,1
461,0,1,66,1,0,0,2,183,5,6,2,0,1
462,0,1,49,1,0,0,2,60,2,2,3,0,1
463,1,0,75,1,0,0,2,79,5,4,5,0,1
464,0,1,69,0,1,0,2,56,2,3,2,0,1
465,0,1,55,1,0,0,2,29,0,0,0,0,1
466,1,0,60,1,0,0,2,484,25,18,20,0,1
467,0,1,67,1,0,0,2,532,24,23,23,0,1
468,0,1,55,1,0,0,2,189,4,4,1,0,1
469,1,0,59,1,0,0,2,7,0,0,0,0,1
470,1,0,66,1,0,0,2,634,29,25,19,0,1
471,0,1,60,1,0,0,2,183,11,11,3,0,1
472,0,1,66,1,0,0,2,400,13,15,19,0,1
473,0,1,60,1,0,0,2,608,26,26,24,0,1
474,0,1,60,1,0,0,2,394,23,20,17,0,1
475,0,1,66,1,0,0,2,527,24,25,18,0,1
476,0,1,62,1,0,0,2,578,27,27,22,0,1
477,1,0,64,1,0,0,2,260,11,16,12,0,1
478,0,1,70,1,0,0,2,891,32,37,28,0,1
479,0,1,65,1,0,0,2,169,9,12,5,0,1
480,0,1,62,1,0,0,2,364,12,17,11,0,1
481,0,1,85,0,1,0,2,211,8,7,8,0,1
482,0,1,63,1,0,0,2,643,27,25,24,0,1
483,0,1,77,1,0,0,2,170,3,6,6,0,1
484,0,1,64,1,0,0,2,346,11,18,14,0,1
485,1,0,87,0,1,0,2,117,0,0,0,0,1
486,0,1,76,1,0,0,2,164,11,5,5,0,1
487,1,0,70,0,1,0,2,131,3,4,2,0,1
488,1,0,63,1,0,0,2,527,22,20,20,0,1
489,0,1,64,1,0,0,2,433,18,19,17,0,1
490,1,0,45,1,0,0,2,329,15,17,16,0,1
491,1,0,43,1,0,0,2,152,2,0,0,0,1
492,0,1,46,1,0,0,2,369,16,17,13,0,1
493,0,1,51,1,0,0,2,244,7,7,5,0,1
494,1,0,73,1,0,0,2,448,22,20,21,0,1
495,1,0,47,1,0,0,2,1,1,0,0,0,1
496,1,0,48,1,0,0,2,437,20,19,17,0,1
497,0,1,52,1,0,0,2,354,15,14,13,0,1
